ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,21,0,0,0,1,0,2,4,12.367,1.4
ADMINISTRACIÓN,18,1,0,0,0,0,1,3,15.692,15.647
ADMINISTRACIÓN,21,0,0,0,1,0,1,9,14.873,16.091
ADMINISTRACIÓN,24,0,0,0,1,0,0,5,14.269,14.8
ADMINISTRACIÓN,26,0,0,0,1,1,2,9,11.79,15.952
ADMINISTRACIÓN,24,1,0,0,1,0,0,12,15.182,13.136
ADMINISTRACIÓN,22,1,0,0,0,0,1,10,15.569,15.8
ADMINISTRACIÓN,23,0,0,0,1,0,2,10,14.273,11.8
ADMINISTRACIÓN,23,1,0,1,1,0,0,10,14.928,14.571
ADMINISTRACIÓN,26,0,0,0,1,1,0,4,13.316,15.222
ADMINISTRACIÓN,23,1,0,0,1,0,0,8,15.635,16.19
ADMINISTRACIÓN,24,0,0,0,1,0,0,9,14.408,14.8
ADMINISTRACIÓN,19,1,0,0,1,1,0,5,13.507,14.6
ADMINISTRACIÓN,21,1,0,1,1,0,2,6,15.547,15.524
ADMINISTRACIÓN,23,0,0,0,0,0,1,9,15.311,16.19
ADMINISTRACIÓN,24,1,0,0,1,0,1,9,13.747,15.5
ADMINISTRACIÓN,22,1,0,0,0,0,2,7,12.757,5.533
ADMINISTRACIÓN,21,0,0,0,1,1,2,8,14.696,7.571
ADMINISTRACIÓN,22,1,0,0,0,0,0,10,16.904,17.182
ADMINISTRACIÓN,21,1,0,0,1,0,0,9,12.795,14
ADMINISTRACIÓN,21,1,0,0,1,1,0,5,15.388,15.824
ADMINISTRACIÓN,22,1,0,0,1,0,2,9,14.216,16.842
ADMINISTRACIÓN,25,0,0,0,1,0,2,9,16.761,15.591
ADMINISTRACIÓN,24,1,0,0,1,1,2,5,11.493,0
ADMINISTRACIÓN,45,1,0,1,1,1,2,6,12.192,14.778
ADMINISTRACIÓN,21,1,0,0,1,1,2,9,14.964,15.048
ADMINISTRACIÓN,23,0,1,1,1,1,0,8,11.632,14.864
ADMINISTRACIÓN,22,1,0,0,1,1,1,10,16.406,16.952
ADMINISTRACIÓN,19,1,0,0,0,0,0,2,13.249,14.684
ADMINISTRACIÓN,20,0,0,0,1,0,1,7,13.97,14.143
ADMINISTRACIÓN,33,1,0,0,1,0,2,10,15.261,16.409
ADMINISTRACIÓN,30,0,0,0,1,0,0,10,12.242,13.85
ADMINISTRACIÓN,26,0,2,0,1,0,2,7,13.655,15
ADMINISTRACIÓN,25,1,0,0,1,0,2,7,15.032,15.944
ADMINISTRACIÓN,20,1,0,0,1,0,1,3,14.227,16.091
ADMINISTRACIÓN,35,1,0,0,1,0,1,6,16.867,16.333
ADMINISTRACIÓN,24,0,0,0,1,0,0,9,14.557,14.773
ADMINISTRACIÓN,26,0,0,0,1,1,1,8,13.557,14.842
ADMINISTRACIÓN,23,1,0,0,0,0,0,7,15.32,15.692
ADMINISTRACIÓN,27,0,0,0,1,1,1,10,13.857,8.111
ADMINISTRACIÓN,28,1,0,0,1,1,0,8,15.813,17.25
ADMINISTRACIÓN,31,0,0,0,1,0,0,10,12.051,14.474
